,n_sikap_A,n_kejuruan,mother_work_Lainnya,n_mat,n_por,n_agama,n_bjawa,mother_salary_Sangat Rendah,father_salary_Tidak Berpenghasilan,n_bindo,extracurricular_tidak,father_edu_SMP sederajat,father_work_Buruh,mother_salary_Cukup Rendah,mother_work_Buruh,Actual_final_score
378,0,0.4615384615384617,0,0.4500000000000002,0.6111111111111116,0.8000000000000003,0.6428571428571423,0,0,0.3888888888888884,1,0,0,0,0,1
54,1,0.615384615384615,0,0.5499999999999998,0.6111111111111116,0.7200000000000002,0.7142857142857144,0,0,0.7777777777777777,1,0,0,0,0,1
363,0,0.4615384615384617,0,0.40000000000000036,0.44444444444444464,0.3599999999999999,0.7142857142857144,0,0,0.22222222222222232,1,0,0,1,0,0
790,0,0.7692307692307692,0,0.40000000000000036,0.6111111111111116,0.28000000000000025,0.5714285714285712,0,0,0.7777777777777777,1,0,1,0,0,1
384,0,0.4615384615384617,1,0.050000000000000266,0.666666666666667,0.6000000000000001,0.9285714285714288,0,0,0.3888888888888884,1,0,0,1,0,0
793,0,0.7692307692307692,0,0.25,0.6111111111111116,0.2400000000000002,0.5,0,0,0.5,1,0,1,0,0,1
728,0,0.6923076923076925,0,0.15000000000000036,0.44444444444444464,0.3599999999999999,0.5,0,1,0.6111111111111107,1,1,0,1,0,0
567,0,0.6923076923076925,0,0.35000000000000053,0.5555555555555562,0.6400000000000001,0.5714285714285712,0,0,0.5555555555555554,0,0,0,0,0,1
392,0,0.5384615384615383,0,0.6000000000000005,0.8888888888888893,0.28000000000000025,0.7142857142857144,0,1,0.44444444444444464,1,1,0,0,0,1
341,0,0.4615384615384617,0,0.5,0.7222222222222223,0.3200000000000003,0.7142857142857144,0,0,0.2777777777777777,1,0,1,0,0,0
418,0,0.3076923076923075,1,0.4500000000000002,0.6111111111111116,0.6000000000000001,0.7857142857142856,0,0,0.22222222222222232,1,0,1,1,0,0
540,0,0.4615384615384617,0,0.2999999999999998,0.5,0.28000000000000025,0.5,0,0,0.5,0,0,0,0,0,0
27,1,0.6923076923076925,0,0.35000000000000053,0.7222222222222223,0.8000000000000003,0.7857142857142856,0,0,0.833333333333333,1,1,0,0,0,1
351,0,0.23076923076923084,0,0.25,0.6111111111111116,0.28000000000000025,0.6428571428571423,0,0,0.22222222222222232,1,0,0,0,0,0
840,0,0.9230769230769225,0,0.4500000000000002,0.6111111111111116,0.20000000000000018,0.5,0,0,0.7777777777777777,1,1,1,1,1,1
589,0,0.6923076923076925,0,0.4500000000000002,0.666666666666667,0.6800000000000002,0.5714285714285712,0,0,0.5555555555555554,1,0,1,0,0,1
671,0,0.6923076923076925,0,0.35000000000000053,0.5555555555555562,0.3200000000000003,0.5714285714285712,0,0,0.7222222222222223,1,0,0,0,0,1
636,0,0.615384615384615,0,0.40000000000000036,0.44444444444444464,0.52,0.4285714285714288,0,0,0.22222222222222232,1,0,1,0,0,0
406,1,0.6923076923076925,0,0.6500000000000004,0.8333333333333339,0.6800000000000002,0.7142857142857144,0,0,0.3888888888888884,0,0,0,1,1,1
57,1,0.6923076923076925,0,0.6000000000000005,0.8333333333333339,0.6400000000000001,0.7857142857142856,0,0,0.833333333333333,1,1,0,0,0,1
566,0,0.615384615384615,0,0.5,0.5,0.3599999999999999,0.5,0,0,0.3888888888888884,1,0,1,0,0,0
599,0,0.615384615384615,0,0.4500000000000002,0.5555555555555562,0.2400000000000002,0.5714285714285712,0,0,0.3888888888888884,1,0,0,1,0,0
191,0,0.5384615384615383,0,0.40000000000000036,0.8333333333333339,0.7600000000000002,0.7142857142857144,0,0,0.33333333333333304,1,1,0,0,0,1
770,0,0.6923076923076925,0,0.4500000000000002,0.5,0.3999999999999999,0.5,0,1,0.6111111111111107,0,0,0,1,0,1
448,1,0.6923076923076925,0,0.8500000000000005,0.5555555555555562,0.6000000000000001,0.5714285714285712,0,0,0.6111111111111107,1,0,1,0,1,1
248,0,0.5384615384615383,0,0.40000000000000036,0.7222222222222223,0.2400000000000002,0.7857142857142856,0,0,0.3888888888888884,1,0,0,0,0,1
121,0,0.615384615384615,0,0.15000000000000036,0.6111111111111116,0.6400000000000001,0.7142857142857144,0,0,0.22222222222222232,0,1,1,0,0,0
674,0,0.615384615384615,0,0.5,0.6111111111111116,0.3999999999999999,0.5714285714285712,0,0,0.7777777777777777,0,0,1,0,0,1
38,0,0.5384615384615383,0,0.15000000000000036,0.5,0.7200000000000002,0.7857142857142856,0,0,0.11111111111111072,1,0,0,0,0,1
156,1,0.6923076923076925,0,0.40000000000000036,0.666666666666667,0.6800000000000002,0.7857142857142856,0,0,0.6111111111111107,1,1,1,0,0,1
21,0,0.6923076923076925,0,0.25,0.7222222222222223,0.6000000000000001,0.7142857142857144,0,1,0.5555555555555554,0,0,0,0,0,1
143,1,0.6923076923076925,0,0.6500000000000004,0.8333333333333339,0.7600000000000002,0.7857142857142856,0,0,0.6111111111111107,1,0,0,0,0,1
233,0,0.615384615384615,0,0.40000000000000036,0.8333333333333339,0.2400000000000002,0.7857142857142856,0,0,0.44444444444444464,1,0,0,0,0,1
141,1,0.6923076923076925,0,0.7000000000000002,0.9444444444444446,0.8399999999999999,0.7857142857142856,0,0,0.2777777777777777,1,0,0,1,0,1
425,1,0.7692307692307692,0,0.6500000000000004,0.7222222222222223,0.6800000000000002,0.6428571428571423,0,0,0.44444444444444464,1,0,0,0,0,1
809,0,0.6923076923076925,0,0.5,0.27777777777777857,0.3200000000000003,0.5,0,0,0.5,1,0,0,1,0,0
690,0,0.6923076923076925,0,0.4500000000000002,0.5,0.52,0.5714285714285712,0,0,0.6666666666666661,0,1,0,0,0,1
808,0,0.615384615384615,0,0.20000000000000018,0.44444444444444464,0.52,0.5,0,0,0.5555555555555554,1,1,0,1,0,1
401,0,0.5384615384615383,0,0.40000000000000036,0.7222222222222223,0.3200000000000003,0.8571428571428568,0,0,0.44444444444444464,1,0,0,0,0,1
225,1,0.7692307692307692,0,0.40000000000000036,0.8333333333333339,0.7600000000000002,0.8571428571428568,0,0,0.44444444444444464,0,0,0,0,0,1
202,1,0.6923076923076925,0,0.4500000000000002,0.7222222222222223,0.8000000000000003,0.7857142857142856,0,0,0.33333333333333304,1,1,0,1,1,1
315,0,0.5384615384615383,0,0.40000000000000036,0.7222222222222223,0.3200000000000003,0.7857142857142856,0,0,0.5555555555555554,1,0,0,1,0,1
296,1,0.6923076923076925,0,0.40000000000000036,0.7777777777777777,0.7600000000000002,0.7142857142857144,0,0,0.5555555555555554,1,0,0,0,0,1
64,1,0.5384615384615383,0,0.5499999999999998,0.7777777777777777,0.6800000000000002,0.7857142857142856,0,0,0.7777777777777777,1,0,0,0,0,1
244,1,0.6923076923076925,0,0.40000000000000036,0.6111111111111116,0.7600000000000002,0.7142857142857144,0,1,0.44444444444444464,1,0,0,0,0,1
402,0,0.615384615384615,0,0.4500000000000002,0.8333333333333339,0.3200000000000003,0.7857142857142856,0,0,0.5555555555555554,0,0,0,0,1,1
455,0,0.6923076923076925,0,0.20000000000000018,0.6111111111111116,0.3599999999999999,0.5714285714285712,0,0,0.5555555555555554,1,0,0,1,0,0
609,0,0.23076923076923084,0,0.050000000000000266,0.0,0.0,0.0,0,1,0.11111111111111072,1,0,0,0,0,0
344,0,0.3076923076923075,0,0.20000000000000018,0.44444444444444464,0.2400000000000002,0.8571428571428568,0,0,0.2777777777777777,1,0,0,0,0,0
350,0,0.5384615384615383,0,0.35000000000000053,0.7777777777777777,0.3200000000000003,0.9285714285714288,0,0,0.2777777777777777,1,0,1,0,1,0
588,0,0.5384615384615383,0,0.40000000000000036,0.27777777777777857,0.3200000000000003,0.5,0,1,0.6111111111111107,0,0,0,0,0,0
242,0,0.5384615384615383,0,0.40000000000000036,0.5555555555555562,0.16000000000000014,0.8571428571428568,0,0,0.33333333333333304,1,1,0,1,0,0
224,1,0.6923076923076925,0,0.4500000000000002,0.44444444444444464,0.7200000000000002,0.7857142857142856,0,0,0.5,1,1,0,0,0,1
379,0,0.3076923076923075,0,0.25,0.666666666666667,0.8000000000000003,0.7857142857142856,0,0,0.3888888888888884,1,0,0,0,0,0
243,1,0.7692307692307692,0,0.40000000000000036,0.5555555555555562,0.8000000000000003,0.7857142857142856,0,0,0.5,1,0,0,0,0,1
39,1,0.615384615384615,0,0.5,0.666666666666667,0.8000000000000003,0.7857142857142856,0,0,0.6111111111111107,1,0,0,0,0,1
489,1,0.7692307692307692,0,0.8500000000000005,0.5555555555555562,0.3200000000000003,0.7857142857142856,0,0,0.5,1,0,0,0,0,1
680,0,0.615384615384615,0,0.5499999999999998,0.6111111111111116,0.3200000000000003,0.5,0,0,0.44444444444444464,1,0,0,0,0,1
23,1,0.7692307692307692,1,0.35000000000000053,0.8888888888888893,0.7600000000000002,0.7142857142857144,0,0,0.7222222222222223,1,0,1,0,0,1
349,0,0.4615384615384617,0,0.2999999999999998,0.6111111111111116,0.3200000000000003,0.8571428571428568,0,0,0.3888888888888884,1,0,0,0,0,0
586,0,0.5384615384615383,0,0.4500000000000002,0.3888888888888893,0.3599999999999999,0.5,0,0,0.44444444444444464,1,0,0,0,0,0
50,1,0.6923076923076925,0,0.75,0.666666666666667,0.8399999999999999,0.8571428571428568,0,0,0.7222222222222223,1,0,0,0,0,1
218,0,0.4615384615384617,0,0.25,0.7222222222222223,0.56,0.7857142857142856,0,0,0.33333333333333304,1,1,0,1,0,0
458,0,0.5384615384615383,0,0.10000000000000009,0.5,0.3599999999999999,0.5,0,0,0.5555555555555554,1,0,0,0,0,0
71,0,0.3076923076923075,0,0.35000000000000053,0.5,0.3599999999999999,0.8571428571428568,0,0,0.7777777777777777,1,0,0,0,0,0
168,0,0.5384615384615383,0,0.40000000000000036,0.5555555555555562,0.7600000000000002,0.7142857142857144,0,0,0.3888888888888884,1,0,0,0,0,1
449,0,0.7692307692307692,0,0.25,0.7777777777777777,0.43999999999999995,0.5714285714285712,0,0,0.7222222222222223,1,0,0,0,0,1
721,1,0.8461538461538458,1,0.7000000000000002,0.6111111111111116,0.3200000000000003,0.5,0,0,0.8888888888888884,1,0,0,0,0,1
420,0,0.5384615384615383,1,0.35000000000000053,0.7777777777777777,0.7200000000000002,0.7142857142857144,0,1,0.3888888888888884,1,0,0,1,0,1
226,0,0.5384615384615383,0,0.40000000000000036,0.8333333333333339,0.6400000000000001,0.8571428571428568,0,1,0.5,0,0,0,0,0,1
751,0,0.4615384615384617,0,0.5,0.44444444444444464,0.3599999999999999,0.5,0,0,0.44444444444444464,1,0,0,0,0,1
592,0,0.5384615384615383,0,0.4500000000000002,0.6111111111111116,0.2400000000000002,0.5,0,0,0.33333333333333304,1,0,0,0,0,0
154,1,0.7692307692307692,0,0.5499999999999998,0.8333333333333339,0.8000000000000003,0.8571428571428568,0,0,0.33333333333333304,1,0,0,0,0,1
41,0,0.4615384615384617,0,0.15000000000000036,0.666666666666667,0.7600000000000002,0.7857142857142856,0,0,0.44444444444444464,0,0,0,0,0,1
353,0,0.23076923076923084,0,0.0,0.8333333333333339,0.3200000000000003,0.8571428571428568,0,0,0.22222222222222232,1,0,0,0,0,0
502,1,0.5384615384615383,0,0.15000000000000036,0.6111111111111116,0.52,0.5714285714285712,0,0,0.6111111111111107,0,1,0,0,0,1
522,0,0.5384615384615383,0,0.10000000000000009,0.5,0.43999999999999995,0.2857142857142856,0,0,0.44444444444444464,1,0,0,0,0,0
19,1,0.6923076923076925,0,0.5,0.8333333333333339,0.7600000000000002,0.7857142857142856,0,0,0.6666666666666661,1,0,0,0,0,1
70,1,0.615384615384615,0,0.5,0.6111111111111116,0.8000000000000003,0.8571428571428568,0,0,0.833333333333333,0,0,1,0,0,1
439,1,0.6923076923076925,0,0.6000000000000005,0.6111111111111116,0.9199999999999999,0.5714285714285712,0,0,0.6111111111111107,1,0,0,0,0,1
67,0,0.38461538461538414,0,0.40000000000000036,0.6111111111111116,0.6400000000000001,0.7857142857142856,0,1,0.16666666666666696,1,0,0,1,0,0
853,0,0.7692307692307692,0,0.2999999999999998,0.3888888888888893,0.6400000000000001,0.4285714285714288,0,0,0.3888888888888884,0,0,0,0,0,1
517,0,0.6923076923076925,0,0.15000000000000036,0.5555555555555562,0.7600000000000002,0.5714285714285712,0,0,0.5,1,0,0,0,0,1
469,0,0.6923076923076925,0,0.15000000000000036,0.5555555555555562,0.20000000000000018,0.6428571428571423,0,0,0.5555555555555554,1,0,1,0,1,0
748,0,0.615384615384615,0,0.5,0.666666666666667,0.3999999999999999,0.4285714285714288,0,0,0.3888888888888884,0,0,0,0,0,1
490,1,0.6923076923076925,0,0.7999999999999998,0.6111111111111116,0.48,0.9285714285714288,0,0,0.6111111111111107,1,0,0,0,0,1
210,0,0.4615384615384617,0,0.4500000000000002,0.3888888888888893,0.3599999999999999,0.7857142857142856,0,0,0.3888888888888884,1,0,0,1,0,0
830,0,0.615384615384615,0,0.2999999999999998,0.3888888888888893,0.16000000000000014,0.35714285714285676,0,0,0.3888888888888884,1,1,1,0,0,0
28,1,0.8461538461538458,0,0.35000000000000053,0.8333333333333339,0.8399999999999999,0.7142857142857144,0,0,0.6666666666666661,1,0,0,0,0,1
250,0,0.4615384615384617,0,0.4500000000000002,0.6111111111111116,0.2400000000000002,0.7142857142857144,0,0,0.33333333333333304,1,0,0,1,0,0
171,0,0.5384615384615383,0,0.25,0.666666666666667,0.43999999999999995,0.7142857142857144,0,0,0.3888888888888884,1,0,1,0,0,0
626,0,0.615384615384615,0,0.40000000000000036,0.5,0.52,0.5714285714285712,0,0,0.3888888888888884,1,0,0,0,0,1
760,0,0.6923076923076925,0,0.25,0.5,0.3599999999999999,0.4285714285714288,0,0,0.33333333333333304,1,0,0,0,0,0
738,0,0.6923076923076925,0,0.35000000000000053,0.3888888888888893,0.1200000000000001,0.4285714285714288,0,0,0.5,1,0,0,0,0,0
812,0,0.615384615384615,0,0.10000000000000009,0.3888888888888893,0.28000000000000025,0.35714285714285676,0,0,0.44444444444444464,1,0,0,0,0,0
555,0,0.8461538461538458,0,0.40000000000000036,0.666666666666667,0.43999999999999995,0.5714285714285712,0,0,0.6111111111111107,1,1,0,1,0,1
761,0,0.6923076923076925,0,0.40000000000000036,0.6111111111111116,0.3599999999999999,0.4285714285714288,0,0,0.6111111111111107,1,0,0,0,0,1
543,0,0.4615384615384617,0,0.15000000000000036,0.3333333333333339,0.1200000000000001,0.4285714285714288,0,0,0.33333333333333304,1,1,1,0,1,0
773,0,0.615384615384615,0,0.40000000000000036,0.3888888888888893,0.3599999999999999,0.4285714285714288,0,0,0.6111111111111107,1,0,0,0,0,1
286,0,0.615384615384615,0,0.40000000000000036,0.6111111111111116,0.3599999999999999,0.8571428571428568,0,0,0.5,1,0,1,0,0,1
546,0,0.5384615384615383,0,0.40000000000000036,0.6111111111111116,0.2400000000000002,0.5,0,0,0.3888888888888884,1,0,0,0,0,0
184,0,0.615384615384615,0,0.40000000000000036,0.6111111111111116,0.6800000000000002,0.6428571428571423,0,0,0.33333333333333304,0,0,0,0,0,1
228,1,0.6923076923076925,0,0.40000000000000036,0.8333333333333339,0.7600000000000002,0.8571428571428568,0,0,0.3888888888888884,1,0,1,1,0,1
123,0,0.23076923076923084,0,0.15000000000000036,0.6111111111111116,0.7200000000000002,0.8571428571428568,0,0,0.2777777777777777,1,0,0,0,0,0
855,0,0.6923076923076925,0,0.5,0.3888888888888893,0.3200000000000003,0.4285714285714288,0,0,0.5,1,0,0,0,0,0
527,0,0.38461538461538414,0,0.10000000000000009,0.44444444444444464,0.16000000000000014,0.2857142857142856,0,0,0.3888888888888884,1,0,0,0,0,1
716,1,0.6923076923076925,0,0.5,0.6111111111111116,0.6800000000000002,0.5,0,0,0.6111111111111107,0,0,0,0,0,1
711,0,0.615384615384615,0,0.35000000000000053,0.6111111111111116,0.3200000000000003,0.5714285714285712,0,0,0.5555555555555554,0,0,0,0,0,1
34,1,0.7692307692307692,0,0.5499999999999998,0.8888888888888893,0.7200000000000002,0.7857142857142856,0,0,0.7222222222222223,1,0,0,0,0,1
764,0,0.38461538461538414,0,0.0,0.0,0.20000000000000018,0.2142857142857144,0,0,0.2777777777777777,1,0,0,0,0,0
525,0,0.615384615384615,0,0.15000000000000036,0.5555555555555562,0.3599999999999999,0.4285714285714288,0,0,0.6111111111111107,1,0,1,0,0,0
186,0,0.5384615384615383,0,0.2999999999999998,0.3888888888888893,0.8000000000000003,0.7857142857142856,0,0,0.3888888888888884,1,0,0,0,0,1
369,0,0.4615384615384617,0,0.0,0.3333333333333339,0.6400000000000001,0.7857142857142856,0,0,0.33333333333333304,1,0,0,0,0,0
222,1,0.7692307692307692,0,0.40000000000000036,0.5,0.7200000000000002,0.7857142857142856,0,0,0.3888888888888884,1,0,0,0,0,1
601,0,0.5384615384615383,1,0.5,0.666666666666667,0.48,0.5,1,0,0.5555555555555554,0,1,0,0,0,1
388,0,0.4615384615384617,0,0.25,0.7222222222222223,0.8000000000000003,0.7857142857142856,0,0,0.33333333333333304,1,0,0,1,0,1
176,0,0.6923076923076925,0,0.4500000000000002,0.7222222222222223,0.48,0.7142857142857144,0,0,0.3888888888888884,1,1,0,0,0,1
454,0,0.615384615384615,0,0.10000000000000009,0.666666666666667,0.20000000000000018,0.4285714285714288,0,0,0.5,1,0,0,0,0,0
564,0,0.6923076923076925,0,0.40000000000000036,0.6111111111111116,0.20000000000000018,0.5,0,1,0.5555555555555554,1,1,0,0,0,1
211,0,0.38461538461538414,0,0.35000000000000053,0.8333333333333339,0.6000000000000001,0.6428571428571423,0,0,0.22222222222222232,1,0,0,0,0,0
212,0,0.38461538461538414,0,0.40000000000000036,0.3333333333333339,0.0,0.7857142857142856,0,1,0.22222222222222232,1,0,0,0,0,0
731,0,0.7692307692307692,0,0.5499999999999998,0.5,0.43999999999999995,0.5,0,0,0.6666666666666661,1,0,0,0,0,1
177,1,0.6923076923076925,0,0.5,0.5555555555555562,0.7600000000000002,0.7142857142857144,0,0,0.5555555555555554,1,0,1,1,1,1
597,0,0.615384615384615,0,0.5,0.5,0.28000000000000025,0.5714285714285712,0,1,0.5,1,0,0,1,0,1
321,0,0.4615384615384617,0,0.5499999999999998,0.7777777777777777,0.6800000000000002,0.7857142857142856,0,1,0.22222222222222232,1,0,0,1,0,1
657,0,0.7692307692307692,0,0.5499999999999998,0.6111111111111116,0.3200000000000003,0.5,0,0,0.7222222222222223,1,0,1,0,1,1
483,0,0.6923076923076925,0,0.10000000000000009,0.666666666666667,0.43999999999999995,0.9285714285714288,0,0,0.7222222222222223,1,1,0,0,1,1
324,0,0.5384615384615383,0,0.25,0.5555555555555562,0.28000000000000025,0.7857142857142856,0,0,0.2777777777777777,1,1,0,0,0,0
292,0,0.6923076923076925,0,0.40000000000000036,0.7777777777777777,0.2400000000000002,0.7142857142857144,0,0,0.05555555555555536,1,1,0,0,0,1
648,0,0.6923076923076925,0,0.5499999999999998,0.5555555555555562,0.3999999999999999,0.5,0,0,0.5555555555555554,1,1,1,0,0,1
430,0,0.6923076923076925,0,0.7000000000000002,0.5555555555555562,0.56,0.5714285714285712,0,0,0.6666666666666661,1,0,0,0,0,1
565,0,0.6923076923076925,0,0.40000000000000036,0.5,0.48,0.5,0,0,0.5555555555555554,1,0,0,0,0,1
778,0,0.6923076923076925,0,0.15000000000000036,0.22222222222222232,0.16000000000000014,0.4285714285714288,0,0,0.33333333333333304,1,0,0,0,0,0
245,0,0.6923076923076925,0,0.40000000000000036,0.5,0.28000000000000025,0.8571428571428568,0,0,0.3888888888888884,1,0,0,0,0,1
476,1,0.8461538461538458,0,0.25,0.666666666666667,0.3599999999999999,1.0,0,0,0.7222222222222223,1,0,0,0,0,1
587,0,0.5384615384615383,0,0.40000000000000036,0.44444444444444464,0.52,0.5714285714285712,0,0,0.5,1,0,0,0,0,1
842,0,0.5384615384615383,1,0.050000000000000266,0.3888888888888893,0.2400000000000002,0.2142857142857144,1,0,0.33333333333333304,1,1,0,0,0,0
695,0,0.6923076923076925,0,0.40000000000000036,0.666666666666667,0.28000000000000025,0.5714285714285712,0,0,0.7777777777777777,1,0,1,0,0,1
553,0,0.4615384615384617,0,0.15000000000000036,0.5555555555555562,0.43999999999999995,0.4285714285714288,0,0,0.5,0,0,0,1,0,0
14,1,0.6923076923076925,0,0.75,0.7777777777777777,0.8399999999999999,0.8571428571428568,0,0,0.6111111111111107,1,0,0,0,0,1
740,0,0.7692307692307692,0,0.4500000000000002,0.6111111111111116,0.3999999999999999,0.5,0,0,0.5,1,0,0,0,0,1
279,1,0.5384615384615383,0,0.4500000000000002,0.6111111111111116,0.8000000000000003,0.7142857142857144,0,0,0.6111111111111107,1,1,0,0,0,1
255,0,0.4615384615384617,0,0.5,0.6111111111111116,0.3599999999999999,0.5714285714285712,0,0,0.5555555555555554,1,0,0,1,0,0
450,0,0.7692307692307692,0,0.2999999999999998,0.6111111111111116,0.43999999999999995,0.5714285714285712,0,0,0.5555555555555554,1,0,0,0,0,1
521,0,0.6923076923076925,0,0.15000000000000036,0.5555555555555562,0.3200000000000003,0.4285714285714288,0,0,0.6111111111111107,1,0,0,1,0,1
371,0,0.38461538461538414,0,0.0,0.3333333333333339,0.28000000000000025,0.7857142857142856,0,0,0.33333333333333304,1,0,0,0,0,0
112,0,0.38461538461538414,0,0.6500000000000004,0.6111111111111116,0.8000000000000003,0.8571428571428568,0,0,0.05555555555555536,1,0,0,0,0,0
699,0,0.615384615384615,0,0.40000000000000036,0.44444444444444464,0.16000000000000014,0.5714285714285712,0,0,0.5555555555555554,1,1,0,0,0,0
620,0,0.6923076923076925,0,0.40000000000000036,0.3888888888888893,0.3200000000000003,0.5714285714285712,1,0,0.3888888888888884,1,0,0,0,0,0
102,0,0.5384615384615383,0,0.5,0.666666666666667,0.3599999999999999,0.7857142857142856,0,0,0.5555555555555554,1,0,0,0,0,1
110,1,0.8461538461538458,0,0.6000000000000005,0.6111111111111116,0.8399999999999999,0.7142857142857144,0,0,0.22222222222222232,1,0,0,0,0,1
473,0,0.6923076923076925,0,0.15000000000000036,0.6111111111111116,0.2400000000000002,0.4285714285714288,0,0,0.6111111111111107,1,0,0,0,0,0
579,0,0.4615384615384617,0,0.5,0.666666666666667,0.3200000000000003,0.5714285714285712,0,0,0.44444444444444464,0,0,0,0,0,1
238,0,0.615384615384615,0,0.40000000000000036,0.3888888888888893,0.3599999999999999,0.7142857142857144,0,1,0.3888888888888884,1,0,0,1,0,1
126,1,0.7692307692307692,0,0.5499999999999998,0.6111111111111116,0.3999999999999999,0.7857142857142856,0,0,0.22222222222222232,1,0,0,0,0,1
800,0,0.7692307692307692,0,0.2999999999999998,0.44444444444444464,0.3599999999999999,0.4285714285714288,1,0,0.5,1,1,0,0,1,0
798,1,0.8461538461538458,0,0.5,0.6111111111111116,0.48,0.5714285714285712,0,0,0.6666666666666661,1,0,0,0,0,1
313,0,0.4615384615384617,0,0.35000000000000053,0.8333333333333339,0.8000000000000003,0.7142857142857144,0,0,0.33333333333333304,1,0,0,0,0,1
199,0,0.615384615384615,0,0.40000000000000036,0.6111111111111116,0.7600000000000002,0.7142857142857144,0,0,0.2777777777777777,1,0,0,0,0,1
189,0,0.4615384615384617,0,0.40000000000000036,0.6111111111111116,0.8000000000000003,0.7142857142857144,1,0,0.3888888888888884,0,0,1,0,1,1
753,0,0.7692307692307692,0,0.35000000000000053,0.44444444444444464,0.28000000000000025,0.5714285714285712,0,0,0.7222222222222223,1,0,0,0,0,1
443,1,0.8461538461538458,0,0.6500000000000004,0.666666666666667,0.56,0.6428571428571423,0,0,0.7777777777777777,1,0,0,1,0,1
328,0,0.4615384615384617,0,0.40000000000000036,0.5555555555555562,0.8399999999999999,0.8571428571428568,0,0,0.11111111111111072,1,0,0,0,0,1
496,0,0.5384615384615383,0,0.7000000000000002,0.5555555555555562,0.3200000000000003,0.7857142857142856,0,0,0.5555555555555554,1,0,1,0,0,1
557,0,0.7692307692307692,0,0.35000000000000053,0.27777777777777857,0.3200000000000003,0.5714285714285712,0,0,0.5,1,0,0,0,0,0
40,1,0.6923076923076925,0,0.4500000000000002,0.6111111111111116,0.8000000000000003,0.7857142857142856,0,0,1.0,1,0,1,0,0,1
13,0,0.3076923076923075,0,0.5499999999999998,0.5555555555555562,0.8000000000000003,0.7857142857142856,0,0,0.6111111111111107,1,0,0,1,0,0
18,1,0.8461538461538458,0,0.5499999999999998,0.9444444444444446,0.8000000000000003,0.7857142857142856,0,0,0.7777777777777777,1,0,0,0,0,1
441,1,0.6923076923076925,0,0.5,0.7222222222222223,0.8399999999999999,0.5714285714285712,0,0,0.7222222222222223,1,0,0,0,0,1
360,0,0.5384615384615383,0,0.35000000000000053,1.0,0.8000000000000003,0.8571428571428568,0,0,0.33333333333333304,0,0,1,1,1,1
706,0,0.5384615384615383,0,0.40000000000000036,0.3888888888888893,0.28000000000000025,0.5714285714285712,0,0,0.6111111111111107,1,0,0,1,0,1
158,0,0.5384615384615383,1,0.15000000000000036,0.7777777777777777,0.6400000000000001,0.7857142857142856,1,0,0.5555555555555554,1,1,0,0,0,1
